"Notes"	"Cancer Sites"	"Cancer Sites Code"	"Age Groups"	"Age Groups Code"	"States"	"States Code"	Count
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Alabama"	"01"	293
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Alaska"	"02"	60
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Arizona"	"04"	403
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Arkansas"	"05"	191
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"California"	"06"	2644
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Colorado"	"08"	380
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Connecticut"	"09"	227
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Delaware"	"10"	78
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"District of Columbia"	"11"	66
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Florida"	"12"	1306
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Georgia"	"13"	688
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Hawaii"	"15"	105
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Idaho"	"16"	111
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Illinois"	"17"	814
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Indiana"	"18"	401
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Iowa"	"19"	234
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Kansas"	"20"	217
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Kentucky"	"21"	321
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Louisiana"	"22"	311
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Maine"	"23"	91
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Maryland"	"24"	388
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Massachusetts"	"25"	428
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Michigan"	"26"	554
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Minnesota"	"27"	380
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Mississippi"	"28"	161
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Missouri"	"29"	421
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Montana"	"30"	78
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Nebraska"	"31"	155
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Nevada"	"32"	Missing
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"New Hampshire"	"33"	99
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"New Jersey"	"34"	616
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"New Mexico"	"35"	116
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"New York"	"36"	1545
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"North Carolina"	"37"	609
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"North Dakota"	"38"	54
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Ohio"	"39"	767
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Oklahoma"	"40"	225
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Oregon"	"41"	283
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Pennsylvania"	"42"	856
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Rhode Island"	"44"	68
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"South Carolina"	"45"	316
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"South Dakota"	"46"	62
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Tennessee"	"47"	400
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Texas"	"48"	1940
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Utah"	"49"	260
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Vermont"	"50"	46
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Virginia"	"51"	541
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Washington"	"53"	555
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"West Virginia"	"54"	131
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Wisconsin"	"55"	393
	"All Invasive Cancer Sites Combined"	"0"	"30-34 years"	"30-34"	"Wyoming"	"56"	47
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Alabama"	"01"	460
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Alaska"	"02"	60
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Arizona"	"04"	589
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Arkansas"	"05"	322
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"California"	"06"	3692
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Colorado"	"08"	543
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Connecticut"	"09"	324
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Delaware"	"10"	86
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"District of Columbia"	"11"	84
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Florida"	"12"	1881
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Georgia"	"13"	1087
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Hawaii"	"15"	166
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Idaho"	"16"	177
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Illinois"	"17"	1278
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Indiana"	"18"	585
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Iowa"	"19"	334
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Kansas"	"20"	310
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Kentucky"	"21"	486
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Louisiana"	"22"	544
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Maine"	"23"	127
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Maryland"	"24"	606
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Massachusetts"	"25"	559
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Michigan"	"26"	830
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Minnesota"	"27"	552
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Mississippi"	"28"	289
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Missouri"	"29"	575
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Montana"	"30"	116
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Nebraska"	"31"	224
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Nevada"	"32"	Missing
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"New Hampshire"	"33"	125
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"New Jersey"	"34"	937
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"New Mexico"	"35"	205
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"New York"	"36"	2220
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"North Carolina"	"37"	955
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"North Dakota"	"38"	76
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Ohio"	"39"	1186
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Oklahoma"	"40"	386
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Oregon"	"41"	425
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Pennsylvania"	"42"	1197
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Rhode Island"	"44"	110
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"South Carolina"	"45"	454
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"South Dakota"	"46"	84
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Tennessee"	"47"	620
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Texas"	"48"	2783
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Utah"	"49"	352
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Vermont"	"50"	56
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Virginia"	"51"	813
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Washington"	"53"	830
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"West Virginia"	"54"	170
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Wisconsin"	"55"	555
	"All Invasive Cancer Sites Combined"	"0"	"35-39 years"	"35-39"	"Wyoming"	"56"	51
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Alabama"	"01"	742
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Alaska"	"02"	114
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Arizona"	"04"	873
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Arkansas"	"05"	442
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"California"	"06"	5433
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Colorado"	"08"	791
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Connecticut"	"09"	517
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Delaware"	"10"	141
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"District of Columbia"	"11"	100
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Florida"	"12"	2952
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Georgia"	"13"	1556
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Hawaii"	"15"	236
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Idaho"	"16"	259
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Illinois"	"17"	1810
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Indiana"	"18"	858
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Iowa"	"19"	447
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Kansas"	"20"	408
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Kentucky"	"21"	753
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Louisiana"	"22"	710
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Maine"	"23"	183
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Maryland"	"24"	857
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Massachusetts"	"25"	922
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Michigan"	"26"	1322
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Minnesota"	"27"	783
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Mississippi"	"28"	446
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Missouri"	"29"	850
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Montana"	"30"	137
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Nebraska"	"31"	285
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Nevada"	"32"	Missing
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"New Hampshire"	"33"	184
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"New Jersey"	"34"	1416
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"New Mexico"	"35"	250
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"New York"	"36"	3107
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"North Carolina"	"37"	1498
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"North Dakota"	"38"	96
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Ohio"	"39"	1606
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Oklahoma"	"40"	492
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Oregon"	"41"	546
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Pennsylvania"	"42"	1715
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Rhode Island"	"44"	167
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"South Carolina"	"45"	648
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"South Dakota"	"46"	118
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Tennessee"	"47"	907
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Texas"	"48"	3975
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Utah"	"49"	463
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Vermont"	"50"	96
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Virginia"	"51"	1078
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Washington"	"53"	1040
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"West Virginia"	"54"	306
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Wisconsin"	"55"	811
	"All Invasive Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Wyoming"	"56"	83
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Alabama"	"01"	1228
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Alaska"	"02"	143
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Arizona"	"04"	1286
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Arkansas"	"05"	747
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"California"	"06"	7919
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Colorado"	"08"	1090
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Connecticut"	"09"	816
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Delaware"	"10"	226
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"District of Columbia"	"11"	111
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Florida"	"12"	4882
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Georgia"	"13"	2622
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Hawaii"	"15"	312
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Idaho"	"16"	330
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Illinois"	"17"	2983
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Indiana"	"18"	1399
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Iowa"	"19"	687
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Kansas"	"20"	601
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Kentucky"	"21"	1251
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Louisiana"	"22"	1077
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Maine"	"23"	317
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Maryland"	"24"	1472
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Massachusetts"	"25"	1457
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Michigan"	"26"	2272
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Minnesota"	"27"	1183
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Mississippi"	"28"	687
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Missouri"	"29"	1378
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Montana"	"30"	229
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Nebraska"	"31"	392
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Nevada"	"32"	Missing
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"New Hampshire"	"33"	286
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"New Jersey"	"34"	2307
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"New Mexico"	"35"	398
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"New York"	"36"	4828
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"North Carolina"	"37"	2544
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"North Dakota"	"38"	129
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Ohio"	"39"	2845
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Oklahoma"	"40"	871
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Oregon"	"41"	886
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Pennsylvania"	"42"	2921
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Rhode Island"	"44"	233
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"South Carolina"	"45"	1147
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"South Dakota"	"46"	154
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Tennessee"	"47"	1609
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Texas"	"48"	6132
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Utah"	"49"	634
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Vermont"	"50"	150
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Virginia"	"51"	1766
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Washington"	"53"	1508
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"West Virginia"	"54"	484
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Wisconsin"	"55"	1299
	"All Invasive Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Wyoming"	"56"	106
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Alabama"	"01"	1821
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Alaska"	"02"	205
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Arizona"	"04"	1797
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Arkansas"	"05"	1109
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"California"	"06"	11574
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Colorado"	"08"	1680
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Connecticut"	"09"	1513
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Delaware"	"10"	365
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"District of Columbia"	"11"	195
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Florida"	"12"	7625
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Georgia"	"13"	3939
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Hawaii"	"15"	461
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Idaho"	"16"	459
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Illinois"	"17"	4554
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Indiana"	"18"	2117
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Iowa"	"19"	1168
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Kansas"	"20"	929
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Kentucky"	"21"	1942
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Louisiana"	"22"	1881
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Maine"	"23"	559
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Maryland"	"24"	2330
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Massachusetts"	"25"	2580
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Michigan"	"26"	3591
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Minnesota"	"27"	1918
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Mississippi"	"28"	1133
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Missouri"	"29"	2269
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Montana"	"30"	320
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Nebraska"	"31"	574
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Nevada"	"32"	Missing
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"New Hampshire"	"33"	575
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"New Jersey"	"34"	3697
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"New Mexico"	"35"	636
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"New York"	"36"	7962
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"North Carolina"	"37"	4045
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"North Dakota"	"38"	205
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Ohio"	"39"	4485
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Oklahoma"	"40"	1328
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Oregon"	"41"	1261
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Pennsylvania"	"42"	4888
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Rhode Island"	"44"	432
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"South Carolina"	"45"	1897
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"South Dakota"	"46"	266
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Tennessee"	"47"	2624
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Texas"	"48"	8665
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Utah"	"49"	716
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Vermont"	"50"	259
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Virginia"	"51"	2870
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Washington"	"53"	2363
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"West Virginia"	"54"	791
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Wisconsin"	"55"	2116
	"All Invasive Cancer Sites Combined"	"0"	"50-54 years"	"50-54"	"Wyoming"	"56"	174
	"All Invasive Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Alabama"	"01"	2999
	"All Invasive Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Alaska"	"02"	365
	"All Invasive Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Arizona"	"04"	3043
	"All Invasive Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Arkansas"	"05"	1925
	"All Invasive Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"California"	"06"	17709
	"All Invasive Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Colorado"	"08"	2472
	"All Invasive Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Connecticut"	"09"	2332
	"All Invasive Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Delaware"	"10"	629
	"All Invasive Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"District of Columbia"	"11"	328
	"All Invasive Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Florida"	"12"	12451
	"All Invasive Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Georgia"	"13"	6125
	"All Invasive Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Hawaii"	"15"	701
	"All Invasive Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Idaho"	"16"	880
	"All Invasive Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Illinois"	"17"	7221
	"All Invasive Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Indiana"	"18"	3571
	"All Invasive Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Iowa"	"19"	1892
	"All Invasive Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Kansas"	"20"	1672
	"All Invasive Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Kentucky"	"21"	3109
	"All Invasive Cancer Sites Combined"	"0"	"55-59 years"	"55-59"	"Louisiana"	"22"	3063
